symbol,start_time,end_time,price_change,ticks
lmmy,2014-10-10 10:48:55.575000,2014-10-10 10:48:55.575000,-0.04093128051070221,11
vahw,2014-10-10 09:45:36.975000,2014-10-10 09:45:37.225000,-0.014052583862193959,13
bmro,2014-10-10 12:31:43.150000,2014-10-10 12:31:43.150000,0.01273408239700374,12
sokf,2014-10-10 13:31:58.650000,2014-10-10 13:31:59.575000,0.02233676975945015,11
qynd,2014-10-10 11:28:32,2014-10-10 11:28:33.050000,-0.008325171400587743,11
deff,2014-10-10 10:18:05.875000,2014-10-10 10:18:06.050000,-0.014192139737991352,11
tydo,2014-10-10 12:29:56.700000,2014-10-10 12:29:56.700000,0.021141649048625758,12
fegh,2014-10-10 15:34:55.275000,2014-10-10 15:34:55.275000,-0.014008620689655067,11
yech,2014-10-10 11:46:41.900000,2014-10-10 11:46:42,-0.012084592145015028,11
racx,2014-10-10 12:43:43.025000,2014-10-10 12:43:43.275000,0.010063254744105849,12
uabk,2014-10-10 10:29:38.150000,2014-10-10 10:29:38.250000,-0.008771929824561358,11
bkne,2014-10-10 10:04:57.100000,2014-10-10 10:04:57.150000,-0.016179215930304903,11
lbmi,2014-10-10 10:09:26.275000,2014-10-10 10:09:26.825000,-0.04144144144144136,11
zyfj,2014-10-10 13:47:02.250000,2014-10-10 13:47:02.350000,-0.00978372811534507,11
zyfj,2014-10-10 14:21:50.925000,2014-10-10 14:21:51.150000,0.022908897176345217,15
sxnf,2014-10-10 09:55:55.400000,2014-10-10 09:55:56.075000,0.029004614370467998,12
ndgb,2014-10-10 10:52:03.950000,2014-10-10 10:52:04.025000,-0.04401184934405413,11
cnao,2014-10-10 09:34:13.800000,2014-10-10 09:34:14,-0.008270871026104944,16
rzsu,2014-10-10 09:56:54.275000,2014-10-10 09:56:55.250000,-0.04605263157894741,13
iqum,2014-10-10 10:44:18.875000,2014-10-10 10:44:18.950000,-0.011764705882352908,11
jqda,2014-10-10 13:26:13.200000,2014-10-10 13:26:13.350000,-0.01627118644067798,13
npuc,2014-10-10 09:30:06.050000,2014-10-10 09:30:06.350000,-0.008676789587852464,11
azeb,2014-10-10 15:58:00.375000,2014-10-10 15:58:00.375000,-0.01612430372324823,24
eghr,2014-10-10 15:59:55.950000,2014-10-10 15:59:55.975000,-0.009900990099009861,19
cieh,2014-10-10 10:28:54.300000,2014-10-10 10:28:54.350000,0.008181246066708558,11
cieh,2014-10-10 12:24:06.125000,2014-10-10 12:24:06.125000,-0.008264462809917278,12
jzzd,2014-10-10 14:34:57.125000,2014-10-10 14:34:57.325000,-0.026302478502781973,12
beaq,2014-10-10 10:01:41.250000,2014-10-10 10:01:41.350000,0.00958904109589045,11
qqsd,2014-10-10 09:35:30.100000,2014-10-10 09:35:30.100000,0.03784119106699748,11
qqsd,2014-10-10 11:37:47.800000,2014-10-10 11:37:47.875000,0.009469696969696993,12
xxfl,2014-10-10 09:39:38.925000,2014-10-10 09:39:39.200000,-0.045643153526971084,12
ihuw,2014-10-10 09:36:04.475000,2014-10-10 09:36:04.700000,0.013417521704814517,15
cyst,2014-10-10 12:08:35.175000,2014-10-10 12:08:35.575000,-0.010582010582010514,13
zwax,2014-10-10 13:18:23.125000,2014-10-10 13:18:24.325000,0.024330900243308914,12
mumn,2014-10-10 14:24:46,2014-10-10 14:24:46.725000,0.00842696629213493,12
lmrk,2014-10-10 15:15:26.575000,2014-10-10 15:15:26.625000,0.009106678230702553,12
yolb,2014-10-10 15:59:38.275000,2014-10-10 15:59:38.275000,0.018867924528301903,13
spcu,2014-10-10 09:30:43.400000,2014-10-10 09:30:44.525000,0.12919896640826872,16
mkmv,2014-10-10 10:40:20.775000,2014-10-10 10:40:20.925000,0.012637362637362662,20
parb,2014-10-10 10:59:40.050000,2014-10-10 10:59:40.200000,-0.011093502377179126,11
ayaz,2014-10-10 10:23:54.625000,2014-10-10 10:23:54.850000,-0.012809564474807886,11
ayaz,2014-10-10 10:24:15.125000,2014-10-10 10:24:16.425000,-0.012435677530017116,12
krwa,2014-10-10 09:30:04.175000,2014-10-10 09:30:04.200000,0.02095347943098801,12
ebwn,2014-10-10 09:40:01.700000,2014-10-10 09:40:01.825000,0.01086151567514206,15
clqp,2014-10-10 15:16:49.200000,2014-10-10 15:16:50.575000,0.008006099885627177,11
rcwl,2014-10-10 09:56:03.475000,2014-10-10 09:56:03.525000,-0.0152284263959391,13
rcwl,2014-10-10 10:00:06.850000,2014-10-10 10:00:06.850000,0.009933774834437109,16
tyyj,2014-10-10 09:47:10.175000,2014-10-10 09:47:10.225000,-0.009345794392523333,12
ngea,2014-10-10 10:31:15.425000,2014-10-10 10:31:15.825000,0.008732099196646874,12
ngea,2014-10-10 10:31:16.525000,2014-10-10 10:31:16.550000,0.0173198040587824,11
ngea,2014-10-10 10:40:28.325000,2014-10-10 10:40:29.025000,0.009147890902930698,18
