symbol,start_time,end_time,price_change,ticks
jvos,2014-10-13 15:40:26.175000,2014-10-13 15:40:27.325000,0.017219387755102015,12
jvgf,2014-10-13 09:32:37.325000,2014-10-13 09:32:37.325000,-0.023182297154899962,11
jvgf,2014-10-13 09:41:47.100000,2014-10-13 09:41:47.375000,-0.016216216216216255,14
jvgf,2014-10-13 09:41:47.475000,2014-10-13 09:41:47.600000,-0.014161220043572877,11
zzrs,2014-10-13 10:24:56.150000,2014-10-13 10:24:56.325000,-0.014212620807276862,11
zzrs,2014-10-13 14:40:47.125000,2014-10-13 14:40:47.175000,0.012877662209014264,11
yxfy,2014-10-13 12:27:55.425000,2014-10-13 12:27:56.050000,0.008441044579266692,11
rtsp,2014-10-13 11:41:37.700000,2014-10-13 11:41:37.700000,-0.009023354564755741,18
rtsp,2014-10-13 15:58:16.975000,2014-10-13 15:58:16.975000,-0.008165487207403491,11
opbo,2014-10-13 10:04:58.150000,2014-10-13 10:04:58.225000,-0.008416833667334703,14
yfcq,2014-10-13 11:17:13.725000,2014-10-13 11:17:13.975000,0.17187499999999997,12
useh,2014-10-13 15:48:28.075000,2014-10-13 15:48:28.075000,-0.038967877830436995,22
useh,2014-10-13 15:48:28.075000,2014-10-13 15:48:28.075000,-0.08647508568415506,17
useh,2014-10-13 15:48:28.100000,2014-10-13 15:48:28.100000,-0.021940259053661072,11
useh,2014-10-13 17:16:40.125000,2014-10-13 17:16:40.175000,0.046375110067508024,17
useh,2014-10-13 17:20:42.550000,2014-10-13 17:20:42.625000,0.17504105090311994,13
gmnc,2014-10-13 15:58:32.450000,2014-10-13 15:58:33.375000,0.027459263729631762,11
magf,2014-10-13 09:39:09.950000,2014-10-13 09:39:10.100000,-0.008088548318433279,19
zyfj,2014-10-13 14:17:06,2014-10-13 14:17:06.575000,0.011861313868613046,13
zyfj,2014-10-13 15:28:12.325000,2014-10-13 15:28:13.600000,-0.01057579318448882,12
zyfj,2014-10-13 15:32:51.975000,2014-10-13 15:32:52.700000,-0.009881422924901186,12
zyfj,2014-10-13 15:54:52.100000,2014-10-13 15:54:52.275000,-0.01140684410646382,11
zyfj,2014-10-13 16:12:34.200000,2014-10-13 16:12:34.200000,-0.01495804450930318,11
fsms,2014-10-13 10:09:39.375000,2014-10-13 10:09:39.675000,-0.008939974457215873,11
uoan,2014-10-13 10:51:25.800000,2014-10-13 10:51:26.450000,-0.01727982162764784,12
jpqs,2014-10-13 15:32:22.900000,2014-10-13 15:32:22.900000,-0.08292682926829278,16
ijmy,2014-10-13 07:03:46.250000,2014-10-13 07:03:47.250000,0.028344671201814057,11
ltgp,2014-10-13 08:08:28.375000,2014-10-13 08:08:28.400000,-0.0419847328244276,12
wtrh,2014-10-13 11:25:12.575000,2014-10-13 11:25:12.575000,-0.00978915662650595,11
vaxx,2014-10-13 09:41:06.750000,2014-10-13 09:41:07.725000,0.021138211382113803,11
mslf,2014-10-13 13:19:05.675000,2014-10-13 13:19:05.725000,0.010052122114668636,12
upxe,2014-10-13 12:01:42.850000,2014-10-13 12:01:42.925000,-0.008050603795284678,11
jxiy,2014-10-13 15:48:55.825000,2014-10-13 15:48:56.075000,0.031250000000000076,11
thku,2014-10-13 10:58:36.625000,2014-10-13 10:58:36.775000,0.00846979107848665,15
xtpb,2014-10-13 15:59:32.150000,2014-10-13 15:59:32.450000,-0.012158054711246122,13
heot,2014-10-13 09:38:20.875000,2014-10-13 09:38:21,-0.012129860863360679,15
enzx,2014-10-13 09:30:00.350000,2014-10-13 09:30:00.375000,-0.016239850093691537,12
hqci,2014-10-13 11:00:11.975000,2014-10-13 11:00:12.300000,-0.010018785222291805,11
mvqz,2014-10-13 09:31:11.125000,2014-10-13 09:31:11.175000,-0.02777777777777787,11
mvqz,2014-10-13 10:21:30.250000,2014-10-13 10:21:30.350000,-0.04621072088724584,13
dvku,2014-10-13 10:32:18.375000,2014-10-13 10:32:18.500000,-0.008782556026650703,11
ydkk,2014-10-13 11:51:47.575000,2014-10-13 11:51:47.650000,0.00858369098712447,11
