symbol,start_time,end_time,price_change,ticks
fcep,2014-10-03 08:50:36.175000,2014-10-03 08:50:36.200000,0.0136986301369863,14
hfra,2014-10-03 09:58:33.825000,2014-10-03 09:58:34.225000,-0.01792573623559535,13
zftg,2014-10-03 15:11:41.400000,2014-10-03 15:11:41.425000,-0.028455284552845465,13
foln,2014-10-03 11:15:33.775000,2014-10-03 11:15:33.825000,-0.015693659761456372,11
foln,2014-10-03 15:08:30.900000,2014-10-03 15:08:31.375000,-0.015231788079470227,11
hzvz,2014-10-03 11:00:25.825000,2014-10-03 11:00:26.225000,-0.009140767824497171,11
yorq,2014-10-03 10:20:37.875000,2014-10-03 10:20:38.025000,-0.009334415584415601,11
hblo,2014-10-03 12:21:20.550000,2014-10-03 12:21:20.750000,-0.04516806722689073,12
ftex,2014-10-03 15:50:00.275000,2014-10-03 15:50:00.275000,0.009401709401709505,11
dgvh,2014-10-03 09:48:48.650000,2014-10-03 09:48:48.725000,0.01136901942207494,11
zsca,2014-10-03 15:50:00.075000,2014-10-03 15:50:00.075000,0.011241970021413321,14
zsca,2014-10-03 15:50:00.625000,2014-10-03 15:50:00.825000,0.008506113769271672,13
ihuw,2014-10-03 10:41:39.300000,2014-10-03 10:41:39.400000,0.009433962264151,12
