symbol,start_time,end_time,price_change,ticks
lmmy,2014-10-02 10:57:32.650000,2014-10-02 10:57:33.100000,-0.010915492957746435,12
qajf,2014-10-02 09:33:46.250000,2014-10-02 09:33:46.425000,-0.015748031496063006,11
qajf,2014-10-02 09:37:35.125000,2014-10-02 09:37:35.125000,-0.02564102564102564,14
aoal,2014-10-02 12:24:42.200000,2014-10-02 12:24:42.275000,-0.009587616957375516,14
aoal,2014-10-02 13:55:53.300000,2014-10-02 13:55:53.325000,0.01951507983441757,12
uuip,2014-10-02 10:55:41.250000,2014-10-02 10:55:42.700000,0.012493993272465236,11
bdqc,2014-10-02 13:26:09.800000,2014-10-02 13:26:10.050000,0.022608695652173893,12
xfmq,2014-10-02 12:54:31.625000,2014-10-02 12:54:32.075000,-0.00858152448258446,13
gldj,2014-10-02 10:22:36.675000,2014-10-02 10:22:38.125000,0.013763007720711653,13
nqeh,2014-10-02 09:32:06.750000,2014-10-02 09:32:07.850000,-0.011452682338758366,11
moic,2014-10-02 12:04:57.975000,2014-10-02 12:04:58,0.008258774948382725,11
rkcx,2014-10-02 09:16:52.100000,2014-10-02 09:16:52.200000,-0.041300813008130065,14
zihl,2014-10-02 10:47:48.650000,2014-10-02 10:47:48.650000,-0.008324661810613952,12
knvs,2014-10-02 10:49:30.125000,2014-10-02 10:49:30.150000,-0.00803673938002286,13
cquz,2014-10-02 09:42:24.100000,2014-10-02 09:42:24.250000,0.026383859286083892,11
zhwd,2014-10-02 12:10:22.050000,2014-10-02 12:10:22.475000,0.009864364981504324,12
mslf,2014-10-02 13:14:17.975000,2014-10-02 13:14:18,-0.009002770083102424,11
mslf,2014-10-02 13:14:19.300000,2014-10-02 13:14:19.975000,0.010500525026251338,12
ikyk,2014-10-02 09:57:28.275000,2014-10-02 09:57:28.975000,0.01276245368464398,17
dscg,2014-10-02 09:31:16.575000,2014-10-02 09:31:16.875000,0.013642564802182762,11
xmqh,2014-10-02 15:50:00.150000,2014-10-02 15:50:00.150000,-0.01240907145913576,13
xqbw,2014-10-02 15:07:48.425000,2014-10-02 15:07:48.500000,0.015562472209871118,11
ifko,2014-10-02 10:31:26.650000,2014-10-02 10:31:27.025000,-0.017045454545454516,12
woel,2014-10-02 10:19:44.525000,2014-10-02 10:19:44.550000,0.008151008151008205,11
dqim,2014-10-02 16:00:08.475000,2014-10-02 16:00:08.500000,-0.019597315436241526,11
kxfb,2014-10-02 12:25:43.075000,2014-10-02 12:25:43.825000,-0.01119104716227023,15
xnsu,2014-10-02 09:13:49.825000,2014-10-02 09:13:49.825000,-0.03047091412742383,11
tmxf,2014-10-02 10:00:30.600000,2014-10-02 10:00:30.625000,-0.017777777777777795,15
lmrk,2014-10-02 13:05:45.625000,2014-10-02 13:05:46,0.008481110254433263,11
ofjo,2014-10-02 13:56:36.700000,2014-10-02 13:56:37.325000,0.008648648648648656,16
zisa,2014-10-02 11:39:28.150000,2014-10-02 11:39:28.775000,-0.029999999999999954,13
mosr,2014-10-02 15:06:39.025000,2014-10-02 15:06:39.050000,-0.023128423615337738,11
ypuh,2014-10-02 10:36:13,2014-10-02 10:36:13.525000,0.00824931255728688,13
iyxc,2014-10-02 10:37:59.375000,2014-10-02 10:37:59.450000,0.018348623853210944,11
qaot,2014-10-02 15:53:07.250000,2014-10-02 15:53:07.325000,0.03154574132492116,11
zeky,2014-10-02 09:31:57.050000,2014-10-02 09:31:57.125000,0.011358258400378704,13
